descricao,categoria,previsto,real,diferenca
Aluguel/IPTU,Moradia,1200.0,1200.0,0.0
Internet + plano movel (2),Moradia,165.0,144.0,-21.0
Pagamento de veiculo,Transporte,344.0,344.0,0.0
Corte de cabelo Renato,Cuidados pessoais,109.0,0.0,-109.0
Unhas Ana,Cuidados pessoais,77.0,0.0,-77.0
Academia (2) (cartão),Cuidados pessoais,199.0,184.0,-15.0
Yoga (cartão),Cuidados pessoais,117.0,0.0,-117.0
Cartao de todos (cartão),Cuidados pessoais,33.0,2476.0,2443.0
Meli+,Entretenimento,89.0,89.0,0.0
IPTV,Entretenimento,35.0,0.0,-35.0
Apple cloud (cartão),Extra,67.0,67.0,0.0
Spotify,Extra,31.0,31.0,0.0
ChatGPT,Gastos profissionais,99.0,99.0,0.0
MEI Ana,Gastos profissionais,81.0,0.0,-81.0
Impostos Renato,Gastos profissionais,500.0,0.0,-500.0
Faxinha,Extra,300.0,0.0,-300.0
Sofa,Moradia,467.0,467.0,0.0
Agua,Moradia,120.0,0.0,-120.0
Energia,Moradia,200.0,275.85,75.85000000000002
Mercado,Alimentação,1700.0,1130.08,-569.9200000000001
Suplementos (2),Alimentação,280.0,350.0,70.0
Vitaminas (2),Alimentação,0.0,0.0,0.0
Pets,Animais de estimação,150.0,176.63,26.629999999999995
Cuidados pessoais extra,Cuidados pessoais,150.0,377.0,227.0
Entretenimento,Entretenimento,400.0,733.3,333.29999999999995
Farmacia,Cuidados pessoais,150.0,377.85,227.85000000000002
Comida fora,Extra,150.0,233.28000000000003,83.28000000000003
Gastos inesperados,Extra,800.0,115.9,-684.1
Carro,Transporte,400.0,611.6800000000001,211.68000000000006
Apartamento,Poupanças,2500.0,0.0,-2500.0
Exames Ana,Saúde,0.0,466.42,466.42
Liquidificador,Casa,0.0,0.0,0.0
Óculos,Vestuário,0.0,0.0,0.0
Embalagens (AGAYA),Investimentos,0.0,3549.44,3549.44
transporte,,0.0,0.0,0.0
