id,data,descricao,nota,categoria,grupo,valor,conta_cartao,recorrente
027a18ad-ccbc-403f-9b47-908fe0a91cba,2026-08-02,Beck,,Alimentação,Mercado,38.83,Cartão Ana,False
9550356a-1990-44be-b505-3bad6a02ed14,2026-08-02,Patrocinio,,Alimentação,Mercado,28.2,Cartão Ana,False
0c511488-b547-416f-a832-41fdc5ead1ef,2026-08-05,Presente Celine + Anna Clara,,,Gastos inesperados,129.9,Cartão Ana,False
8cc6033f-401d-41b9-bfdc-999ab8a92292,2026-08-08,Prime,,,Lazer,19.9,Cartão Ana,False
3f78ec08-70e0-4e61-bf6d-2de6a6d77ffd,2026-08-08,Amarelinha,,Alimentação,Mercado,34.9,Cartão Ana,False
22d6fead-cad4-4bbf-bef5-7f6b5fb2bdd1,2026-08-08,Patrocinio,,Alimentação,Mercado,25.73,Cartão Ana,False
2a3e02cf-a4c7-424e-a824-eb539b81c45e,2026-08-07,Armazem do Campo,,Animais de estimação,Pets,14.0,Cartão Ana,False
017242a8-96a6-45f2-b712-3c5d7eb04e83,2026-08-08,Universal,,,Gastos inesperados,29.9,Cartão Ana,False
de457b8e-a843-49ce-b052-530fb99ff341,2026-08-08,Patrocinio,,Alimentação,Mercado,101.17,Cartão Ana,False
c2c48153-03b6-42b2-ad0c-698f838cf455,2026-08-08,Mercado,,Alimentação,Mercado,38.98,Cartão Ana,False
4afd1365-4691-4a8d-8b09-89ad8e933cfd,2026-08-08,Droga Raia,,Cuidados pessoais,Farmácia,66.47,Cartão Ana,False
058bbe00-1e1b-4f80-8c43-e58376cccb35,2026-08-09,Padaria,,Alimentação,Mercado,34.36,Cartão Ana,False
e86595cd-0939-43d0-b7c9-a5c3e05689f1,2026-08-09,Beck,,Alimentação,Mercado,19.0,Cartão Ana,False
21ae4acf-1d95-457c-a0cb-b168693e6e55,2026-08-09,Petz,,Animais de estimação,Pets,70.19,Cartão Ana,False
5a5fd7cb-f517-4d6a-bf02-d3740998413a,2026-08-11,Armazem do Campo,,Animais de estimação,Pets,49.75,Cartão Ana,False
7fcbb6c5-7f65-4674-a147-ed9ad003ebfe,2026-08-11,Gasolina,,Transporte,Carro,100.0,Cartão Ana,False
ce20c5b8-0959-4cd7-952c-c7c2948758aa,2026-08-11,Droga Farma,,Cuidados pessoais,Farmácia,36.49,Cartão Ana,False
8e45e2d3-f7c2-4abf-afb8-20dd7a4eeef6,2026-08-11,Beck,,Alimentação,Mercado,20.0,Cartão Ana,False
12e70380-6b94-4fa5-8e26-b21b1c6912e1,2026-08-14,Patrocinio,,Alimentação,Mercado,71.41,Cartão Ana,False
50569d8b-93a7-4bbc-bab5-546b3789125e,2026-08-14,Maravilhas do lar,,,Gastos inesperados,15.98,Cartão Ana,False
4f90f575-8169-46fa-b28c-13ba71a0ad70,2026-08-14,Presente Melissa,,,Gastos inesperados,56.9,Cartão Ana,False
06276e4c-1ca6-46c7-af7e-a56d030e324e,2026-08-14,Beck,,Alimentação,Mercado,19.04,Cartão Ana,False
d5a7d23d-0561-4803-87bb-e6431fc5dfe9,2026-08-14,Tiaozinho,,Alimentação,Mercado,39.5,Cartão Ana,False
b485956b-9ed2-40ec-b582-87a31d210585,2026-08-14,Amarelinha,,Alimentação,Mercado,19.26,Cartão Ana,False
9b7b65cf-ea57-47b6-8d46-1c22c21d7a38,2026-08-14,Paulistao,,Alimentação,Mercado,462.22,Cartão Ana,False
b36cfaa6-81b3-473d-abdf-e23c020653e1,2026-08-30,Pedidos de comida,,Alimentação,Comida,427.0,Cartão Renato,False
2e8439aa-f0e8-4489-a75a-eebff88ddd17,2026-08-30,Beck,,Alimentação,Mercado,62.54,Cartão Renato,False
d2fbbe77-634b-42c0-ab44-eb2c41e992e1,2026-08-30,Uber,,Extra,Serviço,28.88,Cartão Renato,False
5f433fb4-4e31-4cd0-99f4-46f4581e953c,2026-08-30,Drogafarma,,Saúde,Farmácia,106.55,Cartão Renato,False
ccadf8ad-9112-4f8c-a4a0-7ab7b5b64c3e,2026-08-30,Racao kiko,,Animais de estimação,Pets,36.65,Cartão Renato,False
589fa933-5c08-4c71-b2ce-b7fbc8e5c0cd,2026-08-30,Amarelinha,,Alimentação,Mercado,18.023,Cartão Renato,False
bae4f5d0-a78e-46ac-9b99-3aece92ce737,2026-08-30,Sorvete,,Alimentação,Comida,35.0,Cartão Renato,False
456d0ade-96ad-48d0-8de1-1c18f570e2fc,2026-08-30,Carnes,,Alimentação,Mercado,228.06,Cartão Renato,False
c409f902-1108-482e-9077-09c3623ca706,2026-08-30,Estrela,,Alimentação,Mercado,87.0,Cartão Renato,False
